timestamp,value,is_anomaly
0,20.0,0.0
1,20.0,0.0
2,20.0,0.0
3,20.0,0.0
4,20.0,0.0
5,20.0,0.0
6,20.0,0.0
7,20.0,0.0
8,20.0,0.0
9,20.0,0.0
10,20.0,0.0
11,20.0,0.0
12,20.0,0.0
13,20.0,0.0
14,20.0,0.0
15,20.0,0.0
16,20.0,0.0
17,20.0,0.0
18,20.0,0.0
19,20.0,0.0
20,20.0,0.0
21,20.0,0.0
22,20.0,0.0
23,20.0,0.0
24,20.0,0.0
25,20.0,0.0
26,20.0,0.0
27,20.0,0.0
28,20.0,0.0
29,20.0,0.0
30,20.0,0.0
31,20.0,0.0
32,20.0,0.0
33,20.0,0.0
34,20.0,0.0
35,20.0,0.0
36,20.0,0.0
37,20.0,0.0
38,20.0,0.0
39,20.0,0.0
40,20.0,0.0
41,20.0,0.0
42,20.0,0.0
43,20.0,0.0
44,20.0,0.0
45,20.0,0.0
46,20.0,0.0
47,20.0,0.0
48,20.0,0.0
49,20.0,0.0
50,20.0,0.0
51,20.0,0.0
52,20.0,0.0
53,20.0,0.0
54,20.0,0.0
55,20.0,0.0
56,20.0,0.0
57,20.0,0.0
58,20.0,0.0
59,20.0,0.0
60,20.0,0.0
61,20.0,0.0
62,20.0,0.0
63,20.0,0.0
64,20.0,0.0
65,20.0,0.0
66,20.0,0.0
67,20.0,0.0
68,20.0,0.0
69,20.0,0.0
70,20.0,0.0
71,20.0,0.0
72,20.0,0.0
73,20.0,0.0
74,20.0,0.0
75,20.0,0.0
76,165.244078619983,1.0
77,20.0,0.0
78,20.0,0.0
79,20.0,0.0
80,20.0,0.0
81,20.0,0.0
82,20.0,0.0
83,20.0,0.0
84,20.0,0.0
85,20.0,0.0
86,20.0,0.0
87,20.0,0.0
88,20.0,0.0
89,20.0,0.0
90,20.0,0.0
91,20.0,0.0
92,20.0,0.0
93,20.0,0.0
94,20.0,0.0
95,20.0,0.0
96,20.0,0.0
97,20.0,0.0
98,20.0,0.0
99,20.0,0.0
100,20.0,0.0
101,20.0,0.0
102,20.0,0.0
103,20.0,0.0
104,20.0,0.0
105,20.0,0.0
106,20.0,0.0
107,80.0,0.0
108,80.0,0.0
109,80.0,0.0
110,80.0,0.0
111,80.0,0.0
112,80.0,0.0
113,80.0,0.0
114,80.0,0.0
115,80.0,0.0
116,80.0,0.0
117,80.0,0.0
118,80.0,0.0
119,80.0,0.0
120,80.0,0.0
121,80.0,0.0
122,80.0,0.0
123,80.0,0.0
124,80.0,0.0
125,80.0,0.0
126,80.0,0.0
127,80.0,0.0
128,80.0,0.0
129,80.0,0.0
130,80.0,0.0
131,80.0,0.0
132,80.0,0.0
133,80.0,0.0
134,80.0,0.0
135,80.0,0.0
136,80.0,0.0
137,80.0,0.0
138,80.0,0.0
139,80.0,0.0
140,80.0,0.0
141,80.0,0.0
142,80.0,0.0
143,80.0,0.0
144,80.0,0.0
145,80.0,0.0
146,80.0,0.0
147,80.0,0.0
148,225.244078619983,1.0
149,80.0,0.0
150,80.0,0.0
151,80.0,0.0
152,80.0,0.0
153,80.0,0.0
154,80.0,0.0
155,80.0,0.0
156,80.0,0.0
157,80.0,0.0
